Ticker,Company Name,Sector,Industry,Exchange (Yahoo)
RMM,Rivernorth Managed Duration Municipal Income Fund Inc.,Financial Services,Asset Management,NYSE
ROCK,"Gibraltar Industries, Inc.",Industrials,Building Products & Equipment,NasdaqGS
ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services,NYSE
ROR.L,Rotork plc,Industrials,Specialty Industrial Machinery,LSE
ROSN,Rosinbomb,Industrials,Specialty Industrial Machinery,OTC Markets OTCPK
RR,Richtech Robotics Inc.,Industrials,Specialty Industrial Machinery,NasdaqCM
RRR,"Red Rock Resorts, Inc.",Consumer Cyclical,Resorts & Casinos,NasdaqGS
RST.L,Restore plc,Industrials,Specialty Business Services,LSE
RTO,Rentokil Initial plc,Industrials,Specialty Business Services,NYSE
SAFE,Safehold Inc.,Real Estate,REIT - Diversified,NYSE
SBI,Western Asset Intermediate Muni Fund Inc.,Financial Services,Asset Management,NYSE
SBRY.L,J Sainsbury plc,Consumer Defensive,Grocery Stores,LSE
SEE,Sealed Air Corporation,Consumer Cyclical,Packaging & Containers,NYQ
SEED,Origin Agritech Limited,Basic Materials,Agricultural Inputs,NasdaqCM
SENS,"Senseonics Holdings, Inc.",Healthcare,Medical Devices,NasdaqGS
SGI,Somnigroup International Inc.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NYSE
SHG,"Shinhan Financial Group Co., Ltd.",Financial Services,Banks - Regional,NYSE
SIM,"Grupo Simec, S.A.B. de C.V.",Basic Materials,Steel,NYSE American
SKY,"Champion Homes, Inc.",Consumer Cyclical,Residential Construction,NYSE
SLN,Silence Therapeutics plc,Healthcare,Biotechnology,NasdaqGM
SLNG,"Stabilis Solutions, Inc.",Energy,Oil & Gas Integrated,NasdaqCM
SLP,"Simulations Plus, Inc.",Healthcare,Health Information Services,NasdaqGS
SMP,"Standard Motor Products, Inc.",Consumer Cyclical,Auto Parts,NYSE
SMRT,"SmartRent, Inc.",Technology,Software - Application,NYSE
SN,"SharkNinja, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",NYSE
SNT,Senstar Technologies Corporation,Industrials,Security & Protection Services,NasdaqGM
SNX,TD SYNNEX Corporation,Technology,Electronics & Computer Distribution,NYSE
SONG,"Music Licensing, Inc.",Communication Services,Entertainment,OTC Markets OTCPK
SOPH,SOPHiA GENETICS SA,Healthcare,Health Information Services,NasdaqGS
SOS,SOS Limited,Financial Services,Capital Markets,NYSE
SPE,"Special Opportunities Fund, Inc.",Financial Services,Asset Management,NYSE
SPEC,Spectaire Holdings Inc.,Industrials,Pollution & Treatment Controls,OTC Markets OTCPK
SPEC.L,INSPECS Group plc,Healthcare,Medical Instruments & Supplies,LSE
SPT,"Sprout Social, Inc.",Technology,Software - Application,NasdaqCM
SRE,Sempra,Utilities,Utilities - Diversified,NYSE
SSTY,Sure Trace Security Corporation,Basic Materials,Specialty Chemicals,OTC Markets OTCPK
STM,STMicroelectronics N.V.,Technology,Semiconductors,NYSE
STX,Seagate Technology Holdings plc,Technology,Computer Hardware,NasdaqGS
SUN,Sunoco LP,Energy,Oil & Gas Refining & Marketing,NYSE
SYM,Symbotic Inc.,Industrials,Specialty Industrial Machinery,NasdaqGM
TALK,"Talkspace, Inc.",Healthcare,Health Information Services,NasdaqCM
TARS,"Tarsus Pharmaceuticals, Inc.",Healthcare,Biotechnology,NasdaqGS
TAVI,Tavia Acquisition Corp.,Financial Services,Shell Companies,NasdaqGM
TERN,"Terns Pharmaceuticals, Inc.",Healthcare,Biotechnology,NasdaqGS
THG,"The Hanover Insurance Group, Inc.",Financial Services,Insurance - Property & Casualty,NYSE
THR,"Thermon Group Holdings, Inc.",Industrials,Specialty Industrial Machinery,NYSE
THS,Treehouse Foods Inc,Consumer Defensive,Packaged Foods,N/A
TKO,"TKO Group Holdings, Inc.",Communication Services,Entertainment,NYSE
TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,NYSE
TOWN,TowneBank,Financial Services,Banks - Regional,NasdaqGS
TPG,TPG Inc.,Financial Services,Asset Management,NasdaqGS
TRAK,"ReposiTrak, Inc.",Technology,Software - Application,NYSE
TRB.L,Tribal Group plc,Technology,Software - Application,LSE
TRI,Thomson Reuters Corporation,Industrials,Specialty Business Services,NasdaqGS
TRIN,Trinity Capital Inc.,Financial Services,Asset Management,NasdaqGS
TRN,"Trinity Industries, Inc.",Industrials,Railroads,NYSE
TRT,Trio-Tech International,Technology,Semiconductor Equipment & Materials,NYSE American
TRU,TransUnion,Financial Services,Financial Data & Stock Exchanges,NYSE
TRX,TRX Gold Corporation,Basic Materials,Gold,NYSE American
TSCO,Tractor Supply Company,Consumer Cyclical,Specialty Retail,NasdaqGS
TW,Tradeweb Markets Inc.,Financial Services,Capital Markets,NasdaqGS
ULS,UL Solutions Inc.,Industrials,Specialty Business Services,NYSE
UTG,Reaves Utility Income Fund,Financial Services,Asset Management,NYSE American
UTL,Unitil Corporation,Utilities,Utilities - Diversified,NYSE
VAL,Valaris Limited,Energy,Oil & Gas Equipment & Services,NYSE
VEL,"Velocity Financial, Inc.",Financial Services,Mortgage Finance,NYSE
VNET,"VNET Group, Inc.",Technology,Information Technology Services,NasdaqGS
VOD,Vodafone Group Public Limited Company,Communication Services,Telecom Services,NasdaqGS
VRCI,"Verde Science, Inc.",Healthcare,Biotechnology,OTC Markets OTCPK
VRE,"Veris Residential, Inc.",Real Estate,REIT - Residential,NYSE
VSVS.L,Vesuvius plc,Basic Materials,Steel,LSE
WBI,WaterBridge Infrastructure LLC,Energy,Oil & Gas Equipment & Services,NYSE
WEN,The Wendy's Company,Consumer Cyclical,Restaurants,NasdaqGS
WHR,Whirlpool Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NYSE
WINE.L,Naked Wines plc,Consumer Defensive,Beverages - Wineries & Distilleries,LSE
WPP,WPP plc,Communication Services,Advertising Agencies,NYSE
iag,IAMGOLD Corporation,Basic Materials,Gold,NYSE
