Ticker,Company Name,Sector,Industry,Exchange (Yahoo)
FTHM,Fathom Holdings Inc.,Real Estate,Real Estate Services,NasdaqCM
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,NasdaqGS
FTRE,Fortrea Holdings Inc.,Healthcare,Biotechnology,NasdaqGS
FULC,"Fulcrum Therapeutics, Inc.",Healthcare,Biotechnology,NasdaqGM
FULT,Fulton Financial Corporation,Financial Services,Banks - Regional,NasdaqGS
FUNC,First United Corporation,Financial Services,Banks - Regional,NasdaqGS
FUSB,"First US Bancshares, Inc.",Financial Services,Banks - Regional,NasdaqCM
FUTU,Futu Holdings Limited,Financial Services,Capital Markets,NasdaqGM
FVCB,"FVCBankcorp, Inc.",Financial Services,Banks - Regional,NasdaqCM
FWRD,Forward Air Corporation,Industrials,Integrated Freight & Logistics,NasdaqGS
FWRG,"First Watch Restaurant Group, Inc.",Consumer Cyclical,Restaurants,NasdaqGS
GABC,"German American Bancorp, Inc.",Financial Services,Banks - Regional,NasdaqGS
GAIA,"Gaia, Inc.",Communication Services,Entertainment,NasdaqGM
GAIN,Gladstone Investment Corporation,Financial Services,Asset Management,NasdaqGS
GALT,Galectin Therapeutics Inc.,Healthcare,Biotechnology,NasdaqCM
GAMB,Gambling.com Group Limited,Consumer Cyclical,Gambling,NasdaqGM
GANX,"Gain Therapeutics, Inc.",Healthcare,Biotechnology,NasdaqGM
GASS,StealthGas Inc.,Industrials,Marine Shipping,NasdaqGS
GBCI,"Glacier Bancorp, Inc.",Financial Services,Banks - Regional,NYSE
GBDC,"Golub Capital BDC, Inc.",Financial Services,Asset Management,NasdaqGS
GBIO,Generation Bio Co.,Healthcare,Biotechnology,N/A
GBLI,"Global Indemnity Group, LLC",Financial Services,Insurance - Property & Casualty,NasdaqGS
GCBC,"Greene County Bancorp, Inc.",Financial Services,Banks - Regional,NasdaqCM
GCMG,GCM Grosvenor Inc.,Financial Services,Asset Management,NasdaqGM
GCT,GigaCloud Technology Inc.,Technology,Software - Infrastructure,NasdaqGM
GDEN,"Golden Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,NasdaqGM
GDRX,"GoodRx Holdings, Inc.",Healthcare,Health Information Services,NasdaqGS
GDS,GDS Holdings Limited,Technology,Information Technology Services,NasdaqGM
GDYN,"Grid Dynamics Holdings, Inc.",Technology,Information Technology Services,NasdaqCM
GECC,Great Elm Capital Corp.,Financial Services,Asset Management,NasdaqGM
GEG,"Great Elm Group, Inc.",Financial Services,Asset Management,NasdaqGS
GEHC,GE HealthCare Technologies Inc.,Healthcare,Medical Devices,NasdaqGS
GEN,Gen Digital Inc.,Technology,Software - Infrastructure,NasdaqGS
GENC,"Gencor Industries, Inc.",Industrials,Farm & Heavy Construction Machinery,NYSE American
GEOS,Geospace Technologies Corporation,Energy,Oil & Gas Equipment & Services,NasdaqGS
GERN,Geron Corporation,Healthcare,Biotechnology,NasdaqGS
GEVO,"Gevo, Inc.",Basic Materials,Specialty Chemicals,NasdaqCM
GFS,GLOBALFOUNDRIES Inc.,Technology,Semiconductors,NasdaqGS
GH,"Guardant Health, Inc.",Healthcare,Diagnostics & Research,NasdaqGS
GIFI,"Gulf Island Fabrication, Inc.",Industrials,Metal Fabrication,N/A
GIGM,GigaMedia Limited,Communication Services,Electronic Gaming & Multimedia,NasdaqCM
GIII,"G-III Apparel Group, Ltd.",Consumer Cyclical,Apparel Manufacturing,NasdaqGS
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,NasdaqGS
GILT,Gilat Satellite Networks Ltd.,Technology,Communication Equipment,NasdaqGS
GIPR,"Generation Income Properties, Inc.",Real Estate,REIT - Diversified,NasdaqCM
GLAD,Gladstone Capital Corporation,Financial Services,Asset Management,NasdaqGS
GLBS,Globus Maritime Limited,Industrials,Marine Shipping,NasdaqCM
GLDD,Great Lakes Dredge & Dock Corporation,Industrials,Engineering & Construction,NMS
GLMD,Galmed Pharmaceuticals Ltd.,Healthcare,Biotechnology,NasdaqCM
GLNG,Golar LNG Limited,Energy,Oil & Gas Midstream,NasdaqGS
GLPG,Galapagos NV,Healthcare,Biotechnology,NasdaqGS
GLPI,"Gaming and Leisure Properties, Inc.",Real Estate,REIT - Specialty,NasdaqGS
GLRE,"Greenlight Capital Re, Ltd.",Financial Services,Insurance - Reinsurance,NasdaqGS
GLTO,Galecto Inc,Healthcare,Biotechnology,NCM
GLUE,"Monte Rosa Therapeutics, Inc.",Healthcare,Biotechnology,NasdaqGS
GMAB,Genmab A/S,Healthcare,Biotechnology,NasdaqGS
GMGI,"Golden Matrix Group, Inc.",Communication Services,Electronic Gaming & Multimedia,NGM
GNLN,"Greenlane Holdings, Inc.",Consumer Defensive,Tobacco,NasdaqCM
GNLX,Genelux Corporation,Healthcare,Biotechnology,NasdaqCM
GNPX,"Genprex, Inc.",Healthcare,Biotechnology,NasdaqCM
GO,Grocery Outlet Holding Corp.,Consumer Defensive,Grocery Stores,NasdaqGS
GOCO,"GoHealth, Inc.",Financial Services,Insurance Brokers,NasdaqCM
GOEV,Canoo Inc.,Consumer Cyclical,Auto Manufacturers,N/A
GOGO,Gogo Inc.,Communication Services,Telecom Services,NasdaqGS
GOOD,Gladstone Commercial Corporation,Real Estate,REIT - Diversified,NasdaqGS
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,NasdaqGS
GOSS,"Gossamer Bio, Inc.",Healthcare,Biotechnology,NasdaqGS
GPCR,Structure Therapeutics Inc.,Healthcare,Biotechnology,NasdaqGM
GPOR,Gulfport Energy Corporation,Energy,Oil & Gas E&P,NYSE
GPRE,Green Plains Inc.,Basic Materials,Chemicals,NasdaqGS
GRBK,"Green Brick Partners, Inc.",Consumer Cyclical,Residential Construction,NYSE
GRI,"GRI Bio, Inc.",Healthcare,Biotechnology,NasdaqCM
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,NYSE
GRNQ,Greenpro Capital Corp.,Industrials,Consulting Services,NasdaqCM
GRPN,"Groupon, Inc.",Communication Services,Internet Content & Information,NasdaqGS
GRTX,"Galera Therapeutics, Inc.",Healthcare,Biotechnology,OTC Markets OTCQB
GRWG,GrowGeneration Corp.,Consumer Cyclical,Specialty Retail,NasdaqCM
GSAT,"Globalstar, Inc.",Communication Services,Telecom Services,NasdaqGS
GSBC,"Great Southern Bancorp, Inc.",Financial Services,Banks - Regional,NasdaqGS
GSHD,"Goosehead Insurance, Inc.",Financial Services,Insurance Brokers,NasdaqGS
GSIT,"GSI Technology, Inc.",Technology,Semiconductors,NasdaqGS
GSM,Ferroglobe PLC,Basic Materials,Other Industrial Metals & Mining,NasdaqCM
GTBP,"GT Biopharma, Inc.",Healthcare,Biotechnology,NasdaqCM
GTEC,Greenland Technologies Holding Corporation,Consumer Cyclical,Auto Parts,NasdaqCM
GTIM,Good Times Restaurants Inc.,Consumer Cyclical,Restaurants,NasdaqCM
GTLB,GitLab Inc.,Technology,Software - Infrastructure,NasdaqGS
GTLS,"Chart Industries, Inc.",Industrials,Specialty Industrial Machinery,NYSE
GURE,"Gulf Resources, Inc.",Basic Materials,Chemicals,NasdaqCM
GUTS,"Fractyl Health, Inc.",Healthcare,Biotechnology,NasdaqGM
GWRS,"Global Water Resources, Inc.",Utilities,Utilities - Regulated Water,NasdaqGM
GYRE,"Gyre Therapeutics, Inc.",Healthcare,Biotechnology,NasdaqCM
GYRO,"Gyrodyne, LLC",Real Estate,Real Estate Services,NasdaqCM
HAFC,Hanmi Financial Corporation,Financial Services,Banks - Regional,NasdaqGS
HAIN,"The Hain Celestial Group, Inc.",Consumer Defensive,Packaged Foods,NasdaqGS
HALL,"Hallmark Financial Services, Inc.",Financial Services,Insurance - Property & Casualty,OTC Markets OTCPK
HALO,"Halozyme Therapeutics, Inc.",Healthcare,Biotechnology,NasdaqGS
HARL,Harleysville Financial Corporation,Financial Services,Banks - Regional,OTC Markets OTCQX
HBCP,"Home Bancorp, Inc.",Financial Services,Banks - Regional,NasdaqGS
HBIO,"Harvard Bioscience, Inc.",Healthcare,Medical Instruments & Supplies,NasdaqCM
HBNC,"Horizon Bancorp, Inc.",Financial Services,Banks - Regional,NasdaqGS
HBT,"HBT Financial, Inc.",Financial Services,Banks - Regional,NasdaqGS
HCAT,"Health Catalyst, Inc.",Healthcare,Health Information Services,NasdaqGS
HCKT,"The Hackett Group, Inc.",Technology,Information Technology Services,NasdaqGS
HCM,HUTCHMED (China) Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NasdaqGS
HCSG,"Healthcare Services Group, Inc.",Healthcare,Medical Care Facilities,NasdaqGS
HCTI,"Healthcare Triangle, Inc.",Healthcare,Health Information Services,NasdaqCM
HCWB,HCW Biologics Inc.,Healthcare,Biotechnology,NasdaqCM
HDSN,"Hudson Technologies, Inc.",Basic Materials,Specialty Chemicals,NasdaqCM
HELE,Helen of Troy Limited,Consumer Defensive,Household & Personal Products,NasdaqGS
HEPA,"Hepion Pharmaceuticals, Inc.",Healthcare,Biotechnology,OTC Markets OTCQB
HFBL,"Home Federal Bancorp, Inc. of Louisiana",Financial Services,Banks - Regional,NasdaqCM
HFFG,HF Foods Group Inc.,Consumer Defensive,Food Distribution,NasdaqCM
HFWA,Heritage Financial Corporation,Financial Services,Banks - Regional,NasdaqGS
HGBL,Heritage Global Inc.,Financial Services,Capital Markets,NasdaqCM
HIFS,Hingham Institution for Savings,Financial Services,Banks - Regional,NasdaqGM
HIHO,Highway Holdings Limited,Industrials,Metal Fabrication,NasdaqCM
HIMX,"Himax Technologies, Inc.",Technology,Semiconductors,NasdaqGS
HLIT,Harmonic Inc.,Technology,Communication Equipment,NasdaqGS
HLMN,Hillman Solutions Corp.,Industrials,Tools & Accessories,NasdaqGM
HLNE,Hamilton Lane Incorporated,Financial Services,Asset Management,NasdaqGS
HNNA,"Hennessy Advisors, Inc.",Financial Services,Asset Management,NasdaqGM
HNRG,Hallador Energy Company,Energy,Thermal Coal,NasdaqCM
HNST,"The Honest Company, Inc.",Consumer Defensive,Household & Personal Products,NasdaqGS
HNVR,"Hanover Bancorp, Inc.",Financial Services,Banks - Regional,NasdaqGS
HOFT,Hooker Furnishings Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NasdaqGS
HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies,NMS
